pub_date	title	category	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-12-01	Auswirkungen einer Anpassung der Ausbauziele für erneuerbare Energien für das Jahr 2030	Reports	Ariadne-Report	Diese Studie untersucht die Auswirkungen eines möglichen geringeren Ausbaus der Erneuerbaren Energien (EE) für das Jahr 2030 unter Unsicherheit bezüglich der Stromnachfrage.	Lindner, M., Geis, J., Luderer, G., Bartels, F., Brown, T. (2025): Auswirkungen einer Anpassung der Ausbauziele für erneuerbare Energien für das Jahr 2030 (Ariadne-Report), Potsdam: Potsdam Institute for Climate Impact Research, 20 p. https://doi.org/10.48485/pik.2025.030	auswirkungen-ee-ausbauziele-2030	https://publications.pik-potsdam.de/pubman/item/item_33514_2/component/file_33515/Ariadne-Report_EE-Ausbau_Dezember2025.pdf	
2025-10-22	Network Measure-Enriched GNNs: A New Framework for Power Grid Stability Prediction 	Articles	IEEE Transactions on Knowledge and Data Engineering	Network measures integrated into GNNs improve generalization for power-grid stability prediction.	Zhu, J., Nauck, C., Lindner, M., He, L., Yu, P. S., Müller, K.-R., Kurths, J., Hellmann, F. (2025 online): Network Measure-Enriched GNNs: A New Framework for Power Grid Stability Prediction. IEEE Transactions on Knowledge and Data Engineering. https://doi.org/10.1109/TKDE.2025.3624222	network-measure-enriched-gnns-tkde-2025	https://doi.org/10.1109/TKDE.2025.3624222	
2025-02-25	Climate change and class structure: greenhouse gas emissions of social classes in the United Kingdom	Articles	Innovation: The European Journal of Social Science Research	An ecological analysis of GHG emissions through the lens of contemporary class theory.	Lindner, M., Dorschel, R., Schuster, A. (2025 online): Climate change and class structure: greenhouse gas emissions of social classes in the United Kingdom. Innovation: The European Journal of Social Science Research. https://doi.org/10.1080/13511610.2025.2465785	climate-change-class-structure-innovation-2025	https://publications.pik-potsdam.de/pubman/item/item_32125_1/component/file_32126/Lindner_2025_Climate%20change%20and%20class%20structure%20greenhouse%20gas%20emissions%20of%20social%20classes%20in%20the%20United%20Kingdom.pdf	
2025-01-01	Pypsa-De: Open-Source German Energy System Model Reveals Savings From Integrated Planning	Conferences	European Energy Market (EEM)		Lindner, M., Geis, J., Seibold, T., Brown, T. (2025). Pypsa-De: Open-Source German Energy System Model Reveals Savings From Integrated Planning. 2025 21st International Conference on the European Energy Market (EEM), 1–6.	pypsa-de-eem-2025	https://arxiv.org/pdf/2510.09414
2025-01-01	Die Energiewende kosteneffizient gestalten: Szenarien zur Klimaneutralität 2045	Reports	Potsdam Institute for Climate Impact Research (Report)		Luderer, G., Bartels, F., Brown, T., Aulich, C., Benke, F., Fleiter, T., Frank, F., et al. (2025). Die Energiewende kosteneffizient gestalten: Szenarien zur Klimaneutralität 2045. Potsdam Institute for Climate Impact Research.	die-energiewende-kosteneffizient-klimaneutralitaet-2045	https://ariadneprojekt.de/publikation/report-szenarien-zur-klimaneutralitat-2045-2/
2025-01-01	A cost-efficient energy transition: Scenarios for climate neutrality 2045	Reports	Potsdam Institute for Climate Impact Research (Report)		Luderer, G., Bartels, F., Brown, T., Aulich, C., Benke, F., Fleiter, T., Frank, F., et al. (2025). A cost-efficient energy transition: Scenarios for climate neutrality 2045. Potsdam Institute for Climate Impact Research.	cost-efficient-energy-transition-2045	https://ariadneprojekt.de/en/publication/report-a-cost-efficient-energy-transition-scenarios-for-climate-neutrality-2045-summary/
2024-08-21	Dirac-Bianconi Graph Neural Networks - Enabling Non-Diffusive Long-Range Graph Predictions	Articles	Proceedings of Machine Learning Research (PMLR)	DBGNNs enable coherent long-range message passing for graph prediction tasks.	Nauck, C., Gorantla, R., Lindner, M., Schürholt, K., Mey, A. S. J. S., Hellmann, F. (2024): Dirac-Bianconi Graph Neural Networks - Enabling Non-Diffusive Long-Range Graph Predictions (Proceedings of Machine Learning Research; 251). https://doi.org/10.48550/arXiv.2407.12419	dirac-bianconi-gnn-2024	https://publications.pik-potsdam.de/pubman/item/item_30045_2/component/file_30046/Nauck_DBGNN-16.pdf	
2024-06-13	Predicting Fault-Ride-Through Probability of Inverter-Dominated Power Grids using Machine Learning	Articles	arXiv		Nauck, C., Büttner, A., Liemann, S., Hellmann, F., Lindner, M. (2024). Predicting Fault-Ride-Through Probability of Inverter-Dominated Power Grids using Machine Learning. arXiv:2406.08917. https://doi.org/10.48550/arXiv.2406.08917	fault-ride-through-ml-arxiv-2406-08917	https://arxiv.org/pdf/2406.08917	
2024-02-27	Predicting Instability in Complex Oscillator Networks: Limitations and Potentials of Network Measures and Machine Learning	Articles	arXiv		Nauck, C., Lindner, M., Molkenthin, N., Kurths, J., Schöll, E., Raisch, J., Hellmann, F. (2024). Predicting Instability in Complex Oscillator Networks: Limitations and Potentials of Network Measures and Machine Learning. arXiv:2402.17500. https://doi.org/10.48550/arXiv.2402.17500	instability-oscillator-networks-arxiv-2402-17500	https://arxiv.org/pdf/2402.17500	
2023-10-02	Toward dynamic stability assessment of power grid topologies using graph neural networks	Articles	Chaos	We provide large datasets for dynamic stability of synthetic power grids and show GNNs predict highly non-linear stability targets from topology.	Nauck, C., Lindner, M., Schürholt, K., Hellmann, F. (2023): Toward dynamic stability assessment of power grid topologies using graph neural networks. Chaos, 33(10), 103103. https://doi.org/10.1063/5.0160915	toward-dynamic-stability-assessment-chaos-2023	https://publications.pik-potsdam.de/pubman/item/item_28774_4/component/file_29918/28774oa.pdf	
2023-05-01	Whose house is on fire? Identifying socio-demographic and housing characteristics driving differences in the UK household CO2 emissions	Articles	Ecological Economics	A socio-metabolic class analysis of UK housing energy emissions and their socio-demographic drivers.	Schuster, A., Lindner, M., Otto, I. M. (2023): Whose house is on fire? Identifying socio-demographic and housing characteristics driving differences in the UK household CO2 emissions. Ecological Economics, 207, 107764. https://doi.org/10.1016/j.ecolecon.2023.107764	whose-house-is-on-fire-ecolecon-2023	https://publications.pik-potsdam.de/pubman/item/item_28161_7/component/file_28251/28161oa.pdf	
2023-01-01	Applying modeling, simulation and machine learning for the renewable energy transition	Reports	Doctoral Thesis		Lindner, M. (2023). Applying modeling, simulation and machine learning for the renewable energy transition. PQDT-Global.	renewable-energy-transition-thesis-2023	https://depositonce.tu-berlin.de/items/d863347e-acd3-474e-a5e7-8de282c6ed0b
2022-05-09	An Open Source Software Stack for Tuning the Dynamical Behavior of Complex Power Systems	Conferences	2022 Open Source Modelling and Simulation of Energy Systems (OSMSES)	A Julia-based open-source stack for efficient transient stability simulation and tuning in power networks.	Büttner, A., Würfel, H., Plietzsch, A., Lindner, M., Hellmann, F. (2022): An Open Source Software Stack for Tuning the Dynamical Behavior of Complex Power Systems. In: 2022 Open Source Modelling and Simulation of Energy Systems (OSMSES). IEEE, 9769114. https://doi.org/10.1109/OSMSES54027.2022.9769114	open-source-software-stack-osmses-2022	https://doi.org/10.1109/OSMSES54027.2022.9769114	
2022-04-01	Predicting basin stability of power grids using graph neural networks	Articles	New Journal of Physics	We investigate graph neural networks for predicting single-node basin stability in power grids.	Nauck, C., Lindner, M., Schürholt, K., Zhang, H., Schultz, P., Kurths, J., Isenhardt, I., Hellmann, F. (2022): Predicting basin stability of power grids using graph neural networks. New Journal of Physics, 24, 043041. https://doi.org/10.1088/1367-2630/ac54c9	predicting-basin-stability-njp-2022	https://publications.pik-potsdam.de/pubman/item/item_26864_6/component/file_27008/26864oa.pdf	
2022-12-21	Towards dynamic stability analysis of sustainable power grids using graph neural networks	Conferences	NeurIPS 2022 Workshop on Tackling Climate Change with Machine Learning		Nauck, C., Lindner, M., Schürholt, K., Hellmann, F. (2022). Towards dynamic stability analysis of sustainable power grids using graph neural networks. arXiv:2212.11130. https://doi.org/10.48550/arXiv.2212.11130	towards-dynamic-stability-arxiv-2212-11130	https://arxiv.org/pdf/2212.11130	
2021-06-22	NetworkDynamics.jl—Composing and simulating complex networks in Julia	Articles	Chaos	We present an open-source Julia package for composing and simulating complex networked dynamical systems.	Lindner, M., Lincoln, L., Drauschke, F., Koulen, J. M., Würfel, H., Plietzsch, A., Hellmann, F. (2021): NetworkDynamics.jl—Composing and simulating complex networks in Julia. Chaos, 31(6), 063133. https://doi.org/10.1063/5.0051387	networkdynamics-jl-chaos-2021	https://doi.org/10.1063/5.0051387	
2019-01-01	Characterizing Flows by Complex Network Methods	Misc	Book chapter (Springer)	Complex network approaches for studying flow systems, including functional and Lagrangian flow networks.	Donner, R. V., Lindner, M., Tupikina, L., Molkenthin, N. (2019). Characterizing Flows by Complex Network Methods. In: Macau, E. E. N. (Ed.), A Mathematical Modeling Approach from Nonlinear Dynamics to Complex Systems. Springer, 197–226. https://doi.org/10.1007/978-3-319-78512-7_11	characterizing-flows-complex-network-methods-2019	https://doi.org/10.1007/978-3-319-78512-7_11	
2019-01-01	Stochastic basins of attraction and generalized committor functions	Articles	Physical Review E	Generalized basins of attraction for stochastic dynamics via committor functions and sojourn times.	Lindner, M., Hellmann, F. (2019). Stochastic basins of attraction and generalized committor functions. Physical Review E, 100(2), 022124. https://doi.org/10.1103/PhysRevE.100.022124	stochastic-basins-committor-functions-2019	https://doi.org/10.1103/PhysRevE.100.022124	
2017-01-01	Spatio-temporal organization of dynamics in a two-dimensional periodically driven vortex flow: A Lagrangian flow network perspective	Articles	Chaos	A Lagrangian flow network perspective on a periodically driven 2D vortex flow.	Lindner, M., Donner, R. V. (2017). Spatio-temporal organization of dynamics in a two-dimensional periodically driven vortex flow: A Lagrangian flow network perspective. Chaos, 27, 035806. https://doi.org/10.1063/1.4975126	lagrangian-flow-network-vortex-flow-2017	https://doi.org/10.1063/1.4975126	